01000US,535832,46
01001US,535878,55
01043US,535933,55
01089US,535988,103
01091US,536091,82
01093US,536173,88
01094US,536261,90
010A0US,536351,98
010C0US,536449,82
010C1US,536531,103
010C2US,536634,107
010E0US,536741,82
010E1US,536823,103
010E2US,536926,107
010G0US,537033,102
010H0US,537135,86
02000US1,537221,50
02000US2,537271,48
02000US3,537319,46
02000US4,537365,45
02001US1,537410,59
02001US2,537469,57
02001US3,537526,55
02001US4,537581,54
02043US1,537635,59
02043US2,537694,57
02043US3,537751,55
02043US4,537806,54
020A0US1,537860,102
020A0US2,537962,100
020A0US3,538062,98
020A0US4,538160,97
020C0US1,538257,86
020C0US2,538343,84
020C0US3,538427,82
020C0US4,538509,81
020C1US1,538590,107
020C1US2,538697,105
020C1US3,538802,103
020C1US4,538905,102
020C2US1,539007,111
020C2US2,539118,109
020C2US3,539227,107
020C2US4,539334,106
020E0US1,539440,86
020E0US2,539526,84
020E0US3,539610,82
020E0US4,539692,81
020E1US1,539773,107
020E1US2,539880,105
020E1US3,539985,103
020E1US4,540088,102
020E2US1,540190,111
020E2US2,540301,109
020E2US3,540410,107
020E2US4,540517,106
020G0US1,540623,106
020G0US2,540729,104
020G0US3,540833,102
020G0US4,540935,101
020H0US1,541036,90
020H0US2,541126,88
020H0US3,541214,86
020H0US4,541300,85
03000US1,541385,54
03000US2,541439,58
03000US3,541497,61
03000US4,541558,61
03000US5,541619,57
03000US6,541676,61
03000US7,541737,61
03000US8,541798,51
03000US9,541849,50
03001US1,541899,63
03001US2,541962,67
03001US3,542029,70
03001US4,542099,70
03001US5,542169,66
03001US6,542235,70
03001US7,542305,70
03001US8,542375,60
03001US9,542435,59
03043US1,542494,63
03043US2,542557,67
03043US3,542624,70
03043US4,542694,70
03043US5,542764,66
03043US6,542830,70
03043US7,542900,70
03043US8,542970,60
03043US9,543030,59
030A0US1,543089,106
030A0US2,543195,110
030A0US3,543305,113
030A0US4,543418,113
030A0US5,543531,109
030A0US6,543640,113
030A0US7,543753,113
030A0US8,543866,103
030A0US9,543969,102
030C0US1,544071,90
030C0US2,544161,94
030C0US3,544255,97
030C0US4,544352,97
030C0US5,544449,93
030C0US6,544542,97
030C0US7,544639,97
030C0US8,544736,87
030C0US9,544823,86
030C1US1,544909,111
030C1US2,545020,115
030C1US3,545135,118
030C1US4,545253,118
030C1US5,545371,114
030C1US6,545485,118
030C1US7,545603,118
030C1US8,545721,108
030C1US9,545829,107
030C2US1,545936,115
030C2US2,546051,119
030C2US3,546170,122
030C2US4,546292,122
030C2US5,546414,118
030C2US6,546532,122
030C2US7,546654,122
030C2US8,546776,112
030C2US9,546888,111
